img_id,image_name,img_height,img_width,img_ratio,image_path,mask_path,mosaic_idx,mosaic_position
1,zanzibar_4_26_17,1024,1024,1.0,/home/daragaki/considition-challenge/all/Images/zanzibar_4_26_17.jpg,/home/daragaki/Training_dataset/Masks/all/zanzibar_4_26_17.png,0,up_left
2,zanzibar_4_37_21,1024,1024,1.0,/home/daragaki/considition-challenge/all/Images/zanzibar_4_37_21.jpg,/home/daragaki/Training_dataset/Masks/all/zanzibar_4_37_21.png,146,
3,zanzibar_4_14_14,1024,1024,1.0,/home/daragaki/considition-challenge/all/Images/zanzibar_4_14_14.jpg,/home/daragaki/Training_dataset/Masks/all/zanzibar_4_14_14.png,1,down_right
4,zanzibar_4_22_05,1024,1024,1.0,/home/daragaki/considition-challenge/all/Images/zanzibar_4_22_05.jpg,/home/daragaki/Training_dataset/Masks/all/zanzibar_4_22_05.png,2,up_left
5,zanzibar_4_25_35,1024,1024,1.0,/home/daragaki/considition-challenge/all/Images/zanzibar_4_25_35.jpg,/home/daragaki/Training_dataset/Masks/all/zanzibar_4_25_35.png,3,down_right
6,zanzibar_4_35_29,1024,1024,1.0,/home/daragaki/considition-challenge/all/Images/zanzibar_4_35_29.jpg,/home/daragaki/Training_dataset/Masks/all/zanzibar_4_35_29.png,147,
7,zanzibar_4_10_13,1024,1024,1.0,/home/daragaki/considition-challenge/all/Images/zanzibar_4_10_13.jpg,/home/daragaki/Training_dataset/Masks/all/zanzibar_4_10_13.png,4,down_left
8,zanzibar_4_22_17,1024,1024,1.0,/home/daragaki/considition-challenge/all/Images/zanzibar_4_22_17.jpg,/home/daragaki/Training_dataset/Masks/all/zanzibar_4_22_17.png,5,up_right
9,zanzibar_4_17_27,1024,1024,1.0,/home/daragaki/considition-challenge/all/Images/zanzibar_4_17_27.jpg,/home/daragaki/Training_dataset/Masks/all/zanzibar_4_17_27.png,6,up_left
10,zanzibar_4_08_15,1024,1024,1.0,/home/daragaki/considition-challenge/all/Images/zanzibar_4_08_15.jpg,/home/daragaki/Training_dataset/Masks/all/zanzibar_4_08_15.png,7,up_left
11,zanzibar_4_18_20,1024,1024,1.0,/home/daragaki/considition-challenge/all/Images/zanzibar_4_18_20.jpg,/home/daragaki/Training_dataset/Masks/all/zanzibar_4_18_20.png,8,up_right
12,zanzibar_4_32_10,1024,1024,1.0,/home/daragaki/considition-challenge/all/Images/zanzibar_4_32_10.jpg,/home/daragaki/Training_dataset/Masks/all/zanzibar_4_32_10.png,9,up_right
13,zanzibar_4_13_35,1024,1024,1.0,/home/daragaki/considition-challenge/all/Images/zanzibar_4_13_35.jpg,/home/daragaki/Training_dataset/Masks/all/zanzibar_4_13_35.png,10,up_left
14,zanzibar_4_38_20,1024,1024,1.0,/home/daragaki/considition-challenge/all/Images/zanzibar_4_38_20.jpg,/home/daragaki/Training_dataset/Masks/all/zanzibar_4_38_20.png,148,
15,zanzibar_4_37_17,1024,1024,1.0,/home/daragaki/considition-challenge/all/Images/zanzibar_4_37_17.jpg,/home/daragaki/Training_dataset/Masks/all/zanzibar_4_37_17.png,11,up_left
16,zanzibar_4_24_31,1024,1024,1.0,/home/daragaki/considition-challenge/all/Images/zanzibar_4_24_31.jpg,/home/daragaki/Training_dataset/Masks/all/zanzibar_4_24_31.png,12,up_left
17,zanzibar_4_18_26,1024,1024,1.0,/home/daragaki/considition-challenge/all/Images/zanzibar_4_18_26.jpg,/home/daragaki/Training_dataset/Masks/all/zanzibar_4_18_26.png,149,
18,zanzibar_4_11_19,1024,1024,1.0,/home/daragaki/considition-challenge/all/Images/zanzibar_4_11_19.jpg,/home/daragaki/Training_dataset/Masks/all/zanzibar_4_11_19.png,13,up_right
19,zanzibar_4_12_09,1024,1024,1.0,/home/daragaki/considition-challenge/all/Images/zanzibar_4_12_09.jpg,/home/daragaki/Training_dataset/Masks/all/zanzibar_4_12_09.png,150,
20,zanzibar_4_33_21,1024,1024,1.0,/home/daragaki/considition-challenge/all/Images/zanzibar_4_33_21.jpg,/home/daragaki/Training_dataset/Masks/all/zanzibar_4_33_21.png,14,up_right
